127.0.0.1 - - [19/Apr/2026:05:26:33 +0000] "GET / HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [19/Apr/2026:05:40:39 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:40:39 +0000] "GET /static/css/tracker.css HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:40:39 +0000] "GET /static/images/logo.png HTTP/1.1" 304 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:40:39 +0000] "GET /static/js/tracker.js HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:40:40 +0000] "GET /api/search?q=Villarr HTTP/1.1" 200 364 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:40:40 +0000] "GET /api/search?q=Villarr HTTP/1.1" 200 364 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:16 +0000] "GET / HTTP/1.1" 302 199 "https://www.freelancer.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:16 +0000] "GET /login HTTP/1.1" 200 1208 "https://www.freelancer.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /static/css/style.css HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /static/images/logo.png HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:17 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:18 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "WinHTTP Example/1.0"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "POST /login HTTP/1.1" 302 201 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /widget HTTP/1.1" 200 2204 "https://def-figures-mlb-marker.trycloudflare.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/images/logo.png HTTP/1.1" 304 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/css/tracker.css HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:24 +0000] "GET /static/js/tracker.js HTTP/1.1" 200 0 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:59 +0000] "GET /api/search?q=villar HTTP/1.1" 200 364 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:41:59 +0000] "GET /api/search?q=villar HTTP/1.1" 200 364 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:45:01 +0000] "GET / HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [19/Apr/2026:05:46:45 +0000] "GET /api/search?q=villar HTTP/1.1" 200 364 "https://def-figures-mlb-marker.trycloudflare.com/widget" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:50:01 +0000] "GET / HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [19/Apr/2026:05:55:01 +0000] "GET / HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [19/Apr/2026:05:57:16 +0000] "GET / HTTP/1.1" 302 199 "-" "curl/8.5.0"
127.0.0.1 - - [19/Apr/2026:05:57:34 +0000] "GET /admin/login HTTP/1.1" 200 1405 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:34 +0000] "GET /static/css/style.css HTTP/1.1" 200 0 "http://localhost:5050/admin/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:35 +0000] "POST /admin/login HTTP/1.1" 302 199 "http://localhost:5050/admin/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:35 +0000] "GET /admin HTTP/1.1" 200 4700 "http://localhost:5050/admin/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:35 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:35 +0000] "POST /admin/customers/add HTTP/1.1" 302 199 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:35 +0000] "GET /admin HTTP/1.1" 200 6292 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:35 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:36 +0000] "POST /admin/customers/add HTTP/1.1" 302 199 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:36 +0000] "GET /admin HTTP/1.1" 200 7314 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:36 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "POST /admin/customers/add HTTP/1.1" 302 199 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /admin HTTP/1.1" 200 8339 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://localhost:5050/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /login HTTP/1.1" 200 1208 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/css/style.css HTTP/1.1" 200 0 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/images/logo.png HTTP/1.1" 200 0 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "POST /login HTTP/1.1" 302 201 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /widget HTTP/1.1" 200 2195 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/css/tracker.css HTTP/1.1" 200 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/images/logo-white.png HTTP/1.1" 200 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:37 +0000] "GET /static/js/tracker.js HTTP/1.1" 200 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:38 +0000] "GET /api/search?q=a HTTP/1.1" 200 1082 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /login HTTP/1.1" 200 1208 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /static/css/style.css HTTP/1.1" 200 0 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /static/images/logo.png HTTP/1.1" 200 0 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "POST /login HTTP/1.1" 302 201 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /widget HTTP/1.1" 200 2191 "http://localhost:5050/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /static/css/tracker.css HTTP/1.1" 200 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
127.0.0.1 - - [19/Apr/2026:05:57:40 +0000] "GET /static/images/logo-white.png HTTP/1.1" 200 0 "http://localhost:5050/widget" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
